Source,Target,Type,Id,Label,timeset,Weight
ENSG00000122877,ENSG00000167693,Directed,332,,,1
ENSG00000122877,ENSG00000003989,Directed,333,,,1
ENSG00000122877,ENSG00000137747,Directed,334,,,1
ENSG00000122877,ENSG00000102924,Directed,335,,,1
ENSG00000122877,ENSG00000185504,Directed,336,,,1
ENSG00000122877,ENSG00000237276,Directed,337,,,1
ENSG00000122877,ENSG00000105520,Directed,338,,,1
ENSG00000122877,ENSG00000155755,Directed,339,,,1
ENSG00000122877,ENSG00000176165,Directed,340,,,1
ENSG00000122877,ENSG00000238033,Directed,341,,,1
ENSG00000122877,ENSG00000166925,Directed,342,,,1
ENSG00000122877,ENSG00000231890,Directed,343,,,1
ENSG00000122877,ENSG00000169884,Directed,344,,,1
ENSG00000122877,ENSG00000004975,Directed,345,,,1
ENSG00000122877,ENSG00000080986,Directed,346,,,1
ENSG00000122877,ENSG00000148297,Directed,347,,,1
ENSG00000122877,ENSG00000266278,Directed,348,,,1
ENSG00000122877,ENSG00000185187,Directed,349,,,1
ENSG00000122877,ENSG00000108262,Directed,350,,,1
ENSG00000122877,ENSG00000249487,Directed,351,,,1
ENSG00000122877,ENSG00000158553,Directed,352,,,1
ENSG00000122877,ENSG00000099956,Directed,353,,,1
ENSG00000122877,ENSG00000227527,Directed,354,,,1
ENSG00000122877,ENSG00000213901,Directed,355,,,1
ENSG00000251493,ENSG00000116824,Directed,356,,,1
ENSG00000251493,ENSG00000167261,Directed,357,,,1
ENSG00000251493,ENSG00000282885,Directed,358,,,1
ENSG00000251493,ENSG00000128165,Directed,359,,,1
ENSG00000251493,ENSG00000265261,Directed,360,,,1
ENSG00000251493,ENSG00000137266,Directed,361,,,1
ENSG00000251493,ENSG00000276791,Directed,362,,,1
ENSG00000251493,ENSG00000213938,Directed,363,,,1
ENSG00000251493,ENSG00000272155,Directed,364,,,1
ENSG00000251493,ENSG00000261423,Directed,365,,,1
ENSG00000251493,ENSG00000186638,Directed,366,,,1
ENSG00000251493,ENSG00000175040,Directed,367,,,1
ENSG00000251493,ENSG00000122729,Directed,368,,,1
ENSG00000185155,ENSG00000222041,Directed,369,,,1
ENSG00000185155,ENSG00000121380,Directed,370,,,1
ENSG00000185155,ENSG00000106366,Directed,371,,,1
ENSG00000185155,ENSG00000204381,Directed,372,,,1
ENSG00000185155,ENSG00000121101,Directed,373,,,1
ENSG00000185155,ENSG00000148120,Directed,374,,,1
ENSG00000185155,ENSG00000171811,Directed,375,,,1
ENSG00000126368,ENSG00000172403,Directed,376,,,1
ENSG00000126368,ENSG00000148158,Directed,377,,,1
ENSG00000126368,ENSG00000119523,Directed,378,,,1
ENSG00000126368,ENSG00000196371,Directed,379,,,1
ENSG00000126368,ENSG00000128268,Directed,380,,,1
ENSG00000126368,ENSG00000241978,Directed,381,,,1
ENSG00000126368,ENSG00000248429,Directed,382,,,1
ENSG00000126368,ENSG00000109881,Directed,383,,,1
ENSG00000126368,ENSG00000147050,Directed,384,,,1
ENSG00000126368,ENSG00000070669,Directed,385,,,1
ENSG00000126368,ENSG00000261888,Directed,386,,,1
ENSG00000126368,ENSG00000270001,Directed,387,,,1
ENSG00000126368,ENSG00000226281,Directed,388,,,1
ENSG00000126368,ENSG00000228414,Directed,389,,,1
ENSG00000126368,ENSG00000198585,Directed,390,,,1
ENSG00000126368,ENSG00000137571,Directed,391,,,1
ENSG00000126368,ENSG00000070190,Directed,392,,,1
ENSG00000126368,ENSG00000073712,Directed,393,,,1
ENSG00000126368,ENSG00000104368,Directed,394,,,1
ENSG00000126368,ENSG00000188211,Directed,395,,,1
ENSG00000126368,ENSG00000106803,Directed,396,,,1
ENSG00000126368,ENSG00000168546,Directed,397,,,1
ENSG00000126368,ENSG00000092068,Directed,398,,,1
ENSG00000126368,ENSG00000280161,Directed,399,,,1
ENSG00000126368,ENSG00000006062,Directed,400,,,1
ENSG00000126368,ENSG00000073711,Directed,401,,,1
ENSG00000126368,ENSG00000116675,Directed,402,,,1
ENSG00000126368,ENSG00000235750,Directed,403,,,1
ENSG00000126368,ENSG00000145990,Directed,404,,,1
ENSG00000126368,ENSG00000078081,Directed,405,,,1
ENSG00000126368,ENSG00000129595,Directed,406,,,1
ENSG00000126368,ENSG00000238160,Directed,407,,,1
ENSG00000126368,ENSG00000164125,Directed,408,,,1
ENSG00000126368,ENSG00000136492,Directed,409,,,1
ENSG00000126368,ENSG00000063180,Directed,410,,,1
ENSG00000126368,ENSG00000151715,Directed,411,,,1
ENSG00000126368,ENSG00000152642,Directed,412,,,1
ENSG00000126368,ENSG00000170425,Directed,413,,,1
ENSG00000126368,ENSG00000114948,Directed,414,,,1
ENSG00000126368,ENSG00000134470,Directed,415,,,1
ENSG00000126368,ENSG00000110436,Directed,416,,,1
ENSG00000126368,ENSG00000115165,Directed,417,,,1
ENSG00000126368,ENSG00000255864,Directed,418,,,1
ENSG00000126368,ENSG00000111863,Directed,419,,,1
ENSG00000126368,ENSG00000214787,Directed,420,,,1
ENSG00000126368,ENSG00000073803,Directed,421,,,1
ENSG00000126368,ENSG00000198408,Directed,422,,,1
ENSG00000126368,ENSG00000077380,Directed,423,,,1
ENSG00000126368,ENSG00000250305,Directed,424,,,1
ENSG00000126368,ENSG00000138755,Directed,425,,,1
ENSG00000126368,ENSG00000100280,Directed,426,,,1
ENSG00000126368,ENSG00000227502,Directed,427,,,1
ENSG00000126368,ENSG00000170802,Directed,428,,,1
ENSG00000126368,ENSG00000070214,Directed,429,,,1
ENSG00000126368,ENSG00000177169,Directed,430,,,1
ENSG00000126368,ENSG00000146278,Directed,431,,,1
ENSG00000126368,ENSG00000175104,Directed,432,,,1
ENSG00000126368,ENSG00000114770,Directed,433,,,1
ENSG00000126368,ENSG00000153071,Directed,434,,,1
ENSG00000126368,ENSG00000166128,Directed,435,,,1
ENSG00000126368,ENSG00000169413,Directed,436,,,1
ENSG00000126368,ENSG00000048471,Directed,437,,,1
ENSG00000126368,ENSG00000134996,Directed,438,,,1
ENSG00000126368,ENSG00000172817,Directed,439,,,1
ENSG00000126368,ENSG00000165071,Directed,440,,,1
ENSG00000126368,ENSG00000115159,Directed,441,,,1
ENSG00000126368,ENSG00000077420,Directed,442,,,1
ENSG00000126368,ENSG00000167550,Directed,443,,,1
ENSG00000126368,ENSG00000100867,Directed,444,,,1
ENSG00000126368,ENSG00000203782,Directed,445,,,1
ENSG00000126368,ENSG00000136026,Directed,446,,,1
ENSG00000126368,ENSG00000253519,Directed,447,,,1
ENSG00000126368,ENSG00000105516,Directed,448,,,1
ENSG00000126368,ENSG00000168685,Directed,449,,,1
ENSG00000126368,ENSG00000134769,Directed,450,,,1
ENSG00000126368,ENSG00000250722,Directed,451,,,1
ENSG00000126368,ENSG00000158023,Directed,452,,,1
ENSG00000126368,ENSG00000168421,Directed,453,,,1
ENSG00000126368,ENSG00000067113,Directed,454,,,1
ENSG00000126368,ENSG00000176788,Directed,455,,,1
ENSG00000126368,ENSG00000135838,Directed,456,,,1
ENSG00000126368,ENSG00000201820,Directed,457,,,1
ENSG00000126368,ENSG00000257893,Directed,458,,,1
ENSG00000126368,ENSG00000168502,Directed,459,,,1
ENSG00000126368,ENSG00000141577,Directed,460,,,1
ENSG00000126368,ENSG00000165806,Directed,461,,,1
ENSG00000126368,ENSG00000121797,Directed,462,,,1
ENSG00000126368,ENSG00000230054,Directed,463,,,1
ENSG00000126368,ENSG00000057704,Directed,464,,,1
ENSG00000126368,ENSG00000276231,Directed,465,,,1
ENSG00000126368,ENSG00000128805,Directed,466,,,1
ENSG00000126368,ENSG00000162594,Directed,467,,,1
ENSG00000126368,ENSG00000115232,Directed,468,,,1
ENSG00000126368,ENSG00000234883,Directed,469,,,1
ENSG00000126368,ENSG00000102970,Directed,470,,,1
ENSG00000126368,ENSG00000125733,Directed,471,,,1
ENSG00000126368,ENSG00000164512,Directed,472,,,1
ENSG00000126368,ENSG00000238755,Directed,473,,,1
ENSG00000126368,ENSG00000224652,Directed,474,,,1
ENSG00000126368,ENSG00000205056,Directed,475,,,1
ENSG00000126368,ENSG00000124496,Directed,476,,,1
ENSG00000123388,ENSG00000261618,Directed,477,,,1
ENSG00000123388,ENSG00000128185,Directed,478,,,1
ENSG00000123388,ENSG00000148488,Directed,479,,,1
ENSG00000123388,ENSG00000197629,Directed,480,,,1
ENSG00000123388,ENSG00000216775,Directed,481,,,1
ENSG00000123388,ENSG00000123610,Directed,482,,,1
ENSG00000123405,ENSG00000143167,Directed,483,,,1
ENSG00000123405,ENSG00000248323,Directed,484,,,1
ENSG00000123405,ENSG00000108387,Directed,485,,,1
ENSG00000123405,ENSG00000247151,Directed,486,,,1
ENSG00000123405,ENSG00000060656,Directed,487,,,1
ENSG00000123405,ENSG00000184058,Directed,488,,,1
ENSG00000123405,ENSG00000272168,Directed,489,,,1
ENSG00000123405,ENSG00000168916,Directed,490,,,1
ENSG00000123405,ENSG00000162746,Directed,491,,,1
ENSG00000123405,ENSG00000115590,Directed,492,,,1
ENSG00000123405,ENSG00000174332,Directed,493,,,1
ENSG00000123405,ENSG00000173295,Directed,494,,,1
